Artikelnummer;Attributgruppe;Sortiernummer;Attributname;Attributwert;Datentyp;Attributart
WSP-Q40GLR4L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-ER;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LRM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LX4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-LRM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-LX4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10G-MM-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GER-OC192IR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GLR-OC192SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GZR-OC192LR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GER-192IR-L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GER192IR-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GLR-192SR-L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GZR192LR-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-100G-ER4;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CFP-100G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-100G-SR10;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CFP-40G-FR;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-40G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-40G-SR4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CFP2-100G-ER4;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CFP2-WDM-DETS-1HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CFP2-WDM-DS-1HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CFP2-WDM-DS100-HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CPAK-100G-CWDM4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-100G-ER4F;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CPAK-100G-ER4L;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CPAK-100G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-100G-PSM4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100G-SR10;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100G-SR4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100GE-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-10X10G-ERL;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CWDM-SFP-1470;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1490;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1510;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1530;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1610;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1470;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1490;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1510;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1530;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1550;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1570;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1590;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1610;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CXP-100G-SR10;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CXP-100G-SR12;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
DP01QSDD-ZF1;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
DP04QSDD-ER1;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
DP04QSDD-HE0;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
DWDM-SFP-3033;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
DWDM-SFP-3112;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
DWDM-SFP-3190;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
