Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
SFP-50G-SR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BXD-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BXU-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BX40D-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-BX40U-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-50G-ER-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2Q200-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-VR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-SR8-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-SR4.2-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-BD,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-DR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4X100G-FR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-4X100G-LR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-FR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-LR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-LR8-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2X100-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2X100-CWDM4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2X100-LR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-LR4-2K,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100GE-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-ER4L,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-ER4F,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-10X10G-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-SR10,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-10X10G-ERL,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-CWDM4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-PSM4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CPAK-100G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100FX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100FX-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-GE-100FX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100LX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100LX-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100BX-U,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100BX-D,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100EX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-100ZX,,condition,Funktionsattribut,Wertliste,Deutsch,new
GLC-FE-T-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP-10G-MM-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP-10GLR-OC192SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GLR-192SR-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GLR192SR-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GER-192IR-L,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GER192IR-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP-10GZR-OC192LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
XFP10GZR192LR-RGD,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-LR,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-CX4,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-SR,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-LRM,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-LX4,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-ER,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-ZR,,condition,Funktionsattribut,Wertliste,Deutsch,new
X2-10GB-T,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-VR8,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-VR8P,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-DR8,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-800G-DR8P,,condition,Funktionsattribut,Wertliste,Deutsch,new
OSFP-2X400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-2Q200-CU3M,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200G-SR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-200G-SL4,,condition,Funktionsattribut,Wertliste,Deutsch,new
