Artikelnummer;Netto-VK
CFP-40G-LR4;0,00
CFP-40G-FR;0,00
CFP-100G-LR4;0,00
CFP-100G-SR10;0,00
CFP-100G-ER4;0,00
QSFP-400G-DR4;0,00
QSFP-400G-VR4;0,00
QSFP-400G-FR4;0,00
CXP-100G-SR10;0,00
CXP-100G-SR12;0,00
QDD-400G-ZR-S;0,00
QDD-400G-ZRP-S;0,00
QDD-8X100G-FR;0,00
QDD-2X400G-FR4;0,00
DWDM-XFP-C;0,00
CFP2-100G-ER4;0,00
DP01QSDD-ZF1;0,00
DP04QSDD-HE0;0,00
DP04CFP2-D15;0,00
DWDM-SFP-6141;0,00
SFP-10G-OLT20-X;0,00
CFP2-WDM-D-1HL;0,00
CFP2-WDM-D-SK;0,00
CFP2-WDM-DET-1HL;0,00
CFP2-WDM-DET-SK;0,00
CFP2-WDM-DETS-1HL;0,00
CFP2-WDM-DS-1HL;0,00
CFP2-WDM-DS100-HL;0,00
DP04CFP2-M25-K9;0,00
ONS-CFP2-WDM;0,00
ONS-CFP2-WDM2;0,00
ONS-CFP2D-400G-C;0,00
QDD-2Q200-CU1M;0,00
QDD-2Q200-CU2M;0,00
QDD-400-CU1M;0,00
QDD-400-CU2M;0,00
QDD-400-CU3M;0,00
QDD-4ZQ100-CU1M;0,00
QDD-4ZQ100-CU2M;0,00
QDD-4ZQ100-CU3M;0,00
QSFP-200-CU3M;0,00
QSFP-4SFP25G-CU4M;0,00
QDD-400-AOC1M;0,00
QDD-400-AOC2M;0,00
QDD-400-AOC3M;0,00
QDD-400-AOC5M;0,00
QDD-400-AOC7M;0,00
QDD-400-AOC10M;0,00
QDD-400-AOC15M;0,00
QDD-400-AOC20M;0,00
QDD-400-AOC25M;0,00
QDD-400-AOC30M;0,00
QSFP-40GE-LR4;0,00
QSFP-40-SR-BD;0,00
OSFPR-800G-DR8;0,00
DP04SFP8-E20;0,00
QSFP-4SFP25G-CU1.5M;0,00
QSFP-4SFP25G-CU2.5M;0,00
ONS-QC-16GFC-SW;0,00
ONS-QSFP28-LR4;0,00
QSFP-100G-ZR4-I;0,00
QSFP-100G-B40D-I;0,00
QSFP-100G-B40U-I;0,00
DP01QS28-E20;0,00
DP01QS28-E25;0,00
DWDM-GBIC-30.33;0,00
DWDM-GBIC-31.12;0,00
DWDM-GBIC-31.90;0,00
DWDM-GBIC-32.68;0,00
DWDM-GBIC-34.25;0,00
DWDM-GBIC-35.04;0,00
DWDM-GBIC-35.82;0,00
DWDM-GBIC-36.61;0,00
DWDM-GBIC-38.19;0,00
DWDM-GBIC-38.98;0,00
DWDM-GBIC-39.77;0,00
DWDM-GBIC-40.56;0,00
DWDM-GBIC-42.14;0,00
DWDM-GBIC-42.94;0,00
DWDM-GBIC-43.73;0,00
DWDM-GBIC-44.53;0,00
DWDM-GBIC-46.12;0,00
DWDM-GBIC-46.92;0,00
DWDM-GBIC-47.72;0,00
DWDM-GBIC-48.51;0,00
DWDM-GBIC-50.12;0,00
DWDM-GBIC-50.92;0,00
DWDM-GBIC-51.72;0,00
DWDM-GBIC-52.52;0,00
DWDM-GBIC-54.13;0,00
DWDM-GBIC-54.94;0,00
DWDM-GBIC-55.75;0,00
DWDM-GBIC-56.55;0,00
DWDM-GBIC-58.17;0,00
DWDM-GBIC-58.98;0,00
DWDM-GBIC-59.79;0,00
DWDM-GBIC-60.61;0,00
WS-G5483;0,00
WS-G5484;0,00
WS-G5486;0,00
WS-G5487;0,00
DWDM-X2-30.33;0,00
DWDM-X2-31.12;0,00
DWDM-X2-31.90;0,00
DWDM-X2-32.68;0,00
DWDM-X2-34.25;0,00
DWDM-X2-35.04;0,00
DWDM-X2-35.82;0,00
DWDM-X2-36.61;0,00
DWDM-X2-38.19;0,00
DWDM-X2-38.98;0,00
DWDM-X2-39.77;0,00
DWDM-X2-40.56;0,00
DWDM-X2-42.14;0,00
